"","clock_type","Yes_sd","No_sd"
"1","ageAcc.Horvath","19.5058933069038","17.8188996213319"
"2","ageAcc2.Horvath","16.9654887999195","17.258313704741"
"3","ageAcc3.Horvath","16.8740647989805","16.8996139691373"
"4","ageAcc.Hannum","15.3964028014119","15.4800077105641"
"5","ageAcc2.Hannum","12.5946357820742","12.8928496655653"
"6","ageAcc3.Hannum","11.9898083849069","11.548129403235"
"7","ageAcc.Levine","19.0851302042847","16.8244724937214"
"8","ageAcc2.Levine","17.3516249557014","17.2714392927891"
"9","ageAcc3.Levine","15.7173099463647","16.5828750293777"
"10","ageAcc.Hovarth2","16.4309773371499","16.1360599691957"
"11","ageAcc2.Hovarth2","14.7174033125756","15.877459147136"
"12","ageAcc3.Hovarth2","13.6522052945389","16.1879396035887"
