"","clock_type","Yes_sd","No_sd"
"1","ageAcc.Horvath","18.9717274374475","18.1973796069171"
"2","ageAcc2.Horvath","16.5103452569611","16.9677719154921"
"3","ageAcc3.Horvath","16.5095394574464","16.7635328481677"
"4","ageAcc.Hannum","14.4120680946172","14.9432894061501"
"5","ageAcc2.Hannum","12.1713791300669","13.1008755185204"
"6","ageAcc3.Hannum","11.5715680256343","11.8827286443801"
"7","ageAcc.Levine","17.8338008333148","14.865072287122"
"8","ageAcc2.Levine","15.1276761674994","13.9193431951179"
"9","ageAcc3.Levine","13.7973350635407","14.4322681194032"
"10","ageAcc.Hovarth2","15.8551622852362","16.3744456959068"
"11","ageAcc2.Hovarth2","14.4741895767943","16.1688677317185"
"12","ageAcc3.Hovarth2","13.4767810849201","16.3782888597219"
