"","GSM3936879_202163530086_R01C01","GSM3936880_202163530086_R02C01","GSM3936881_202163530086_R03C01","GSM3936882_202163530086_R04C01","GSM3936883_202163530086_R05C01","GSM3936884_202163530086_R06C01","GSM3936885_202163530086_R07C01","GSM3936886_202163530086_R08C01","GSM3936887_202163530106_R01C01","GSM3936888_202163530106_R02C01","GSM3936889_202163530106_R03C01","GSM3936890_202163530106_R04C01","GSM3936891_202163530106_R05C01","GSM3936892_202163530106_R06C01","GSM3936893_202163530106_R07C01","GSM3936894_202163530106_R08C01","GSM3936895_202163530149_R01C01","GSM3936896_202163530149_R02C01","GSM3936897_202163530149_R03C01","GSM3936898_202163530149_R04C01","GSM3936899_202163530149_R05C01","GSM3936900_202163530149_R06C01","GSM3936901_202163530149_R07C01","GSM3936902_202163530149_R08C01","GSM3936903_202163530167_R01C01","GSM3936904_202163530167_R02C01","GSM3936905_202163530167_R03C01","GSM3936906_202163530167_R04C01","GSM3936907_202163530167_R05C01","GSM3936908_202163530167_R06C01","GSM3936909_202163530167_R07C01","GSM3936910_202163530167_R08C01","GSM3936911_202163550114_R01C01","GSM3936912_202163550114_R02C01","GSM3936913_202163550114_R03C01","GSM3936914_202163550114_R04C01","GSM3936915_202163550114_R05C01","GSM3936916_202163550114_R06C01","GSM3936917_202163550114_R07C01","GSM3936918_202163550114_R08C01","GSM3936919_202163550130_R01C01","GSM3936920_202163550130_R02C01","GSM3936921_202163550130_R03C01","GSM3936922_202163550130_R04C01","GSM3936923_202163550130_R05C01","GSM3936924_202163550130_R06C01","GSM3936925_202163550130_R07C01","GSM3936926_202163550130_R08C01","GSM3936927_202163550152_R01C01","GSM3936928_202163550152_R02C01","GSM3936929_202163550152_R03C01","GSM3936930_202163550152_R04C01","GSM3936931_202163550152_R05C01","GSM3936932_202163550152_R06C01","GSM3936933_202163550152_R07C01","GSM3936934_202163550152_R08C01","GSM3936935_202163550167_R01C01","GSM3936936_202163550167_R02C01","GSM3936937_202163550167_R03C01","GSM3936938_202163550167_R04C01","GSM3936939_202163550167_R05C01","GSM3936940_202163550167_R06C01","GSM3936941_202163550167_R07C01","GSM3936942_202163550167_R08C01","GSM3936943_202184900081_R01C01","GSM3936944_202184900081_R02C01","GSM3936945_202184900081_R03C01","GSM3936946_202184900081_R04C01","GSM3936947_202184900081_R05C01","GSM3936948_202184900081_R06C01","GSM3936949_202184900081_R07C01","GSM3936950_202184900081_R08C01","GSM3936951_202184900085_R01C01","GSM3936952_202184900085_R02C01","GSM3936953_202184900085_R03C01","GSM3936954_202184900085_R04C01","GSM3936955_202184900085_R05C01","GSM3936956_202184900085_R06C01","GSM3936957_202184900085_R07C01","GSM3936958_202184900085_R08C01","GSM3936959_202184900109_R01C01","GSM3936960_202184900109_R02C01","GSM3936961_202184900109_R03C01","GSM3936962_202184900109_R04C01","GSM3936963_202184900109_R05C01","GSM3936964_202184900109_R06C01","GSM3936965_202184900109_R07C01","GSM3936966_202184900109_R08C01","GSM3936967_202184900129_R01C01","GSM3936968_202184900129_R02C01","GSM3936969_202184900129_R03C01","GSM3936970_202184900129_R04C01","GSM3936971_202184900129_R05C01","GSM3936972_202184900129_R06C01","GSM3936973_202184900129_R07C01","GSM3936974_202184900129_R08C01"
"cg13721600",0.021652466192449,0.0326035221323179,0.0276111218631056,0.0205846414136667,0.0210850801479655,0.0125848106806741,0.0231610670833798,0.0329884833105602,0.0419720974225585,0.0380026070390053,0.0246841593780369,0.028101644245142,0.0347729241430516,0.0159497645211931,0.0275245140202993,0.0282585890375033,0.0332028063305596,0.111490683229814,0.0336857864695424,0.0135469774217043,0.0240551964196917,0.0225057593478646,0.0326294322741925,0.0407761194029851,0.055106237148732,0.0875306545934729,0.0438342269236343,0.0160876993166287,0.0257061043863074,0.0401099260616371,0.0293496467846479,0.0383536625138608,0.15630472854641,0.122641509433962,0.017413737504031,0.0110655737704918,0.00349368449341575,0.0193728451814152,0.0213766566908935,0.0242086825972726,0.0907570054370556,0.0639663124122719,0.0199402487320225,0.0201036013813518,0.0131183383438098,0.0316227083759286,0.00599011340505961,0.0192832454065854,0.0222466154409074,0.0373496313542879,0.0239238154227315,0.0183236233790641,0.0293184806993115,0.030029296875,0.0195761390541087,0.0128882817604086,0.0342089703522257,0.187149095446039,0.0290594498669033,0.013247938234778,0.021248097412481,0.0860646599777035,0.0359703102201358,0.0220766188536686,0.0295922049801516,0.0404957235119567,0.0183396787074009,0.0150070848898622,0.0238253300877775,0.0180744613720364,0.0190624280119788,0.0257979636197231,0.0283565863381047,0.0259316503520522,0.0188873626373626,0.0193841317888119,0.0160004980699788,0.0217899720495123,0.0214010858679036,0.0229910965851459,0.0603327829289978,0.0259266626881507,0.0201379664938515,0.0199041203956551,0.0266968636332441,0.0189999489248685,0.0305398660186523,0.0119053675909438,0.0261582615826158,0.0142805276533947,0.0176757415684681,0.0127978296768106,0.0104504064046935,0.0226113671274962,0.0243958048335613,0.0369602112012069
"cg06703092",0.260631001371742,0.283464566929134,0.276344086021505,0.20979020979021,0.159928656361474,0.243989314336598,0.140431390546122,0.168400520156047,0.266666666666667,0.328380386329866,0.152542372881356,0.144613583138173,0.121490803484995,0.12148070907195,0.0942662779397473,0.167077681874229,0.165792235047219,0.314984709480122,0.135103926096998,0.0927536231884058,0.116834838024429,0.105751391465677,0.116991643454039,0.11092577147623,0.378968253968254,0.309954751131222,0.272549019607843,0.115455381784729,0.170662905500705,0.166370896184561,0.163816381638164,0.156296665007466,0.289887640449438,0.4675,0.212837837837838,0.150326797385621,0.0827431979127842,0.1215,0.227792436235708,0.112283663993246,0.385269121813031,0.258536585365854,0.223864836325238,0.159546643417611,0.11470113085622,0.159134615384615,0.091846298031865,0.102323685283327,0.176026823134954,0.269916765755054,0.272024729520866,0.11090136857008,0.119086460032626,0.0862785862785863,0.068901303538175,0.1028,0.20746887966805,0.406896551724138,0.224202626641651,0.134982638888889,0.082032667876588,0.171806167400881,0.160615384615385,0.131410256410256,0.224137931034483,0.123981900452489,0.0961465089660435,0.09296875,0.105525550477773,0.129508196721311,0.102497204621692,0.0783809829746226,0.181588902900378,0.288433382137628,0.0833677259595543,0.130046748831279,0.0963995354239257,0.0645994832041344,0.0414184397163121,0.0606747944428693,0.28110599078341,0.15906432748538,0.0772994129158513,0.0742904841402337,0.0978654853000403,0.0650372825186413,0.0811332904056665,0.0623458174478583,0.241581259150805,0.201156069364162,0.165523996082272,0.0707997065297139,0.0650957290132548,0.094539048737522,0.0719054956343092,0.0733705772811918
"cg11100117",0.959117647058824,0.972107438016529,0.941686367218282,0.930281462309932,0.982039331590315,0.9658772028286,0.962133072407045,0.903950426026336,0.971849215337324,0.966394531991646,0.930636930636931,0.933836240766934,0.928212378259504,0.921487603305785,0.968407414789715,0.947361052778944,0.963620689655172,0.942666666666667,0.970515613652869,0.910388317291736,0.929616281534874,0.949794338253085,0.966823193140057,0.922438509129319,0.961579969781999,0.880205362236167,0.968090933990687,0.964644630100496,0.936579540931405,0.968664402322779,0.942759988665344,0.958992645420103,0.947722985718135,0.94056399132321,0.972115977791487,0.957583716349311,0.783880037488285,0.721557537524472,0.951065801668211,0.89413782351107,0.956340288924559,0.96264674493063,0.973447655925875,0.959038461538462,0.784065102195307,0.975041760833251,0.971791383219955,0.964470473401659,0.978132516947299,0.960750586395622,0.968136410609714,0.876890802694049,0.966276041666667,0.975228926978164,0.965199590583419,0.951934952655414,0.965149586250796,0.785607196401799,0.974520028442759,0.743402282453638,0.967783000391696,0.965836711059641,0.971738481440939,0.914839671886652,0.965020180665001,0.968815640652771,0.921935870542403,0.96442417331813,0.958338307269906,0.948273773470624,0.90680200369101,0.968870656370656,0.969687039161068,0.918392204628502,0.963381729410253,0.961356653273458,0.939153439153439,0.817404178318802,0.927897278314311,0.895955495414223,0.928504233301976,0.969219312399156,0.975356180207932,0.978497942386831,0.85785691971259,0.870113493064313,0.963405683128867,0.970299500831947,0.870740305522914,0.962395140295053,0.945911630269172,0.935342778358848,0.960981689195667,0.879060265577119,0.936348107524948,0.949682087261565
"cg07089235",0.127965043695381,0.140567200986436,0.134237945238672,0.100041339396445,0.105272438723329,0.0881621724995219,0.0815465135910856,0.134533396494552,0.118798361401912,0.167920792079208,0.251355347461804,0.0557025483915889,0.086837294332724,0.114885586223166,0.0429169574319609,0.103660097261326,0.0809928151534944,0.384722222222222,0.0992647058823529,0.0505207179259916,0.05646999240314,0.0865590629910013,0.0867705468988695,0.110041265474553,0.217485159201295,0.242570281124498,0.0945552784704904,0.0934353604510673,0.0912420912420912,0.104452054794521,0.0964786716289722,0.135157545605307,0.260309278350515,0.293814432989691,0.09131848886665,0.0835038125348707,0.0654031381078142,0.101210653753027,0.165476690466191,0.0701314041045327,0.372057706909643,0.0595174262734584,0.126426690079017,0.10042985541227,0.0461862494358357,0.0997202238209432,0.0702001081665765,0.0571428571428571,0.0760823875577974,0.126050420168067,0.110484780157835,0.046231309124199,0.120693438665789,0.062192848669717,0.0402646926873037,0.0616883116883117,0.084077892325315,0.224872231686542,0.173710601719198,0.0604026845637584,0.0631760464022574,0.249804228660924,0.102660753880266,0.0676680764182587,0.0602517985611511,0.0764532911106085,0.0378725891291642,0.0366100836078034,0.0567514677103718,0.0625108828138604,0.0327245053272451,0.0605777102093322,0.103991596638655,0.120439038860872,0.0466752836421083,0.0459798377182198,0.0849453322119428,0.0671288468041934,0.0443901062729239,0.0716158410376708,0.173087357569181,0.0981284774911482,0.041210632119723,0.0552878824379668,0.0811820652173913,0.0805318615153036,0.0408115121490918,0.0294379224475276,0.0515151515151515,0.0908116796142513,0.159061833688699,0.0436314055220998,0.033097176694512,0.0451895043731778,0.0585883822610868,0.0609173780928954
"cg04714877",0.0275473933649289,0.0404652889493875,0.0206594028583557,0.025543772737828,0.0192855224281493,0.0180965489116583,0.0159745969711773,0.0301079882714725,0.058379609853339,0.0233935895488379,0.0275450802214965,0.022149395411911,0.0236842105263158,0.018783430774972,0.0131088082901554,0.0238887656238444,0.0275285303597874,0.0898148148148148,0.0189766441303012,0.0199553630038073,0.0242186125608397,0.0207681068670424,0.0296220633299285,0.0314972927946689,0.0625790139064475,0.104259634888438,0.0178718029681086,0.0130507529280535,0.0281668101087552,0.0128648648648649,0.0438926051498213,0.0187980241492865,0.106936416184971,0.0221216691804927,0.0301824212271973,0.0174257191801051,0.0105362975450427,0.0187539509728173,0.0182385035074045,0.0190226789861159,0.0462633451957295,0.0247432306255836,0.0265436209685092,0.0135702169449156,0.0122672746023992,0.0207693696947806,0.00362418570511056,0.0252868994982364,0.0140076143955176,0.0287503558212354,0.0265604249667995,0.0166522022130614,0.0337137381304992,0.0106970565615605,0.0146701427245813,0.0156234351527291,0.0198622170528764,0.0491915281257117,0.0378147268408551,0.0176214361140444,0.0260945201507683,0.145501506672406,0.0317937982467617,0.0263404419463272,0.0121597680785956,0.0179653918218891,0.00964225058894428,0.0173868135651575,0.0203425375742747,0.0123218527315914,0.0102668514988737,0.0209046510566434,0.0110189573459716,0.00712435233160622,0.00564532836130101,0.0181674565560821,0.0195865070729053,0.00899843505477308,0.0125329487243249,0.0175316220238095,0.0330275229357798,0.0144514767932489,0.0165306998711894,0.0124210954998982,0.0152359497272943,0.0101106059577933,0.021413596885295,0.0159925615992562,0.0141557928034796,0.00963984469139108,0.0163148887621221,0.00435391852667401,0.0127037784199335,0.0195187940863852,0.0167813897402402,0.0137251646466324
"cg25867650",0.0238242574257426,0.0379047408553431,0.0277541018538248,0.0382269215128101,0.0183295627683642,0.0266412497675284,0.0183204490098486,0.0300150296171868,0.0348687042617305,0.0401958015626471,0.0640551445864156,0.017516879219805,0.0319262493934983,0.0179581795817958,0.0228746177370031,0.0330634278002699,0.027681660899654,0.26046511627907,0.0375902823374918,0.0359227660529861,0.0290530354940386,0.0233583076245042,0.0292378293986848,0.0301765774120011,0.0613410952996981,0.0915014933478143,0.0360762059181192,0.0238178459080242,0.0422277008660472,0.0304150484301156,0.054214203590696,0.0227585289028881,0.184607645875251,0.167415730337079,0.0231489876095497,0.0237505259712937,0.0211076099624466,0.0248666913045774,0.0295692231075697,0.0236634954363259,0.154346540508575,0.074884437596302,0.0260027371302242,0.0261081031476553,0.0202060419051411,0.0286631016042781,0.0196664749856239,0.0226456546537665,0.0265393526644668,0.0602182406035296,0.051709954166177,0.0325265842274936,0.019652704446791,0.0428935133938455,0.0222368276919706,0.017832021596137,0.0233042364058621,0.334442595673877,0.0718562874251497,0.0301546516701411,0.0199746085484554,0.143388569496111,0.0420980511571255,0.0175753872695252,0.0389761489237929,0.0151879116621465,0.0260015507883174,0.0265405143134401,0.0247933884297521,0.0339955380856263,0.0304538452423273,0.013786696395392,0.032977797126687,0.0736434108527132,0.0157864899044961,0.0183068405072334,0.0365062021980847,0.0223525842014767,0.0233257271179688,0.0277362719462084,0.0554407713498623,0.0308628791114908,0.0291311816952374,0.0238555505285238,0.0204514146444845,0.0471241081652427,0.0214368005266623,0.0315594288893009,0.0215897939156035,0.0147100584994604,0.0608158682634731,0.0237167686972901,0.0228103706165863,0.0254450857653849,0.034135100100821,0.0315394344934514
"cg08863539",0.0278254342697834,0.0470690782305513,0.0243121935001247,0.0256399967899848,0.0308345720959864,0.0212043795620438,0.0250253856988437,0.0253787587479812,0.0344280744833231,0.044989869220851,0.0333917872278241,0.0310089783649092,0.0226602147999528,0.0335767764457306,0.0217613404168369,0.0225138242780655,0.0307590959764873,0.169437846397466,0.0337659287098479,0.0164548541819837,0.0301122896996542,0.0173236049402845,0.0194431736487811,0.0209382545705416,0.0397570403092214,0.16845298281092,0.0356808974758492,0.0260209730997199,0.0369828217161063,0.0228330424665503,0.0224287087471964,0.0330828263549246,0.139568345323741,0.161815068493151,0.0196664749856239,0.0147570359439233,0.0193476832073612,0.0280445054107606,0.0270344980097302,0.0230505697475236,0.0683385579937304,0.064549986880084,0.0320962400155854,0.0549069553527206,0.030900505343385,0.0166082383873795,0.0372740419378163,0.0184352995293868,0.0237960092564293,0.0326757466560801,0.0238472032742156,0.0260561321444233,0.0380675818373812,0.0226839345304306,0.0225970090256275,0.023146560592552,0.031569076891019,0.235620585267407,0.0318575396177095,0.0270725301367095,0.0264567072063895,0.114310837546714,0.0347495846190363,0.0261075949367089,0.0425781479092135,0.0257718641002454,0.0109608587086941,0.0215503377291734,0.0406137184115523,0.0212302451776449,0.0217524093932401,0.019036954087346,0.0303208713570798,0.053460592575243,0.0196984517826424,0.0237092309543868,0.0151228016979988,0.0279695310640324,0.0233121754183497,0.0265638389031705,0.0388393877084761,0.0430986849375622,0.0239052449282533,0.0151417158074948,0.0169757116740663,0.0244433218046866,0.0239000084452327,0.0191911834563131,0.0230923120891683,0.017040966030922,0.0416937405241499,0.0214030421411354,0.0234160328143045,0.0415892310010548,0.0273754398962771,0.0356318415369722
"cg06554173",0.125709421112372,0.245928338762215,0.0631737818025011,0.0721729062138171,0.0477218743251997,0.0544933078393881,0.0478177708224657,0.0683174883926597,0.187254130605822,0.260695187165775,0.0467930617184349,0.0672018348623853,0.128942486085343,0.0600819299044151,0.03431562621171,0.0996186844613918,0.0673506971849513,0.356536502546689,0.0760795065113091,0.154065620542083,0.0768496420047733,0.0415292062875995,0.0608272506082725,0.0372253495551117,0.142857142857143,0.362790697674419,0.0715249662618084,0.151685393258427,0.126677577741408,0.162464985994398,0.0483807266982622,0.0641167775314117,0.252890173410405,0.428211586901763,0.0899094437257439,0.140631406314063,0.0970328789093825,0.0889905029897995,0.0389989572471324,0.0498367417081973,0.188608776844071,0.315629742033384,0.115367871136265,0.0808566433566434,0.121637426900585,0.0496466751223048,0.055609005195305,0.0536643972767321,0.0465659834591873,0.099327470253492,0.113650793650794,0.0401549123522218,0.0856635596981802,0.0971019947308995,0.0543170559094126,0.052815781100859,0.0576802507836991,0.221294363256785,0.115277777777778,0.0264255910987483,0.0452348066298343,0.459340659340659,0.064696734059098,0.0627677407338424,0.0489192263936291,0.144256940664126,0.114232209737828,0.04867152598166,0.045444661883018,0.0856353591160221,0.0516450648055833,0.0642696629213483,0.11638418079096,0.0432886951105575,0.0898648648648649,0.0411492122335496,0.0445694504543488,0.0626195860149591,0.0529383960926422,0.0541507633587786,0.12806901128069,0.051114291555919,0.0518376302797586,0.0443574690150033,0.062227391683629,0.0651797314854916,0.0639042357274402,0.074191002367798,0.122182680901542,0.0445749075886062,0.107648725212465,0.0466487935656836,0.0513155439447658,0.06463089238067,0.0504919730709477,0.0440627333831217
"cg12452440",0.0165211551376763,0.0361353000414667,0.0476484875248399,0.0153192532374689,0.0212393701428165,0.0279398674710711,0.0327107326042776,0.0177720938437114,0.0424173924606077,0.0361962488563586,0.0305979024759433,0.0201207903892864,0.0171750925227265,0.027642985660542,0.0266880560011667,0.00946412046773787,0.0418237615081105,0.0649732158285813,0.0306525037936267,0.0235546940839373,0.0216944153374471,0.0295281022904977,0.0319233838786911,0.020873786407767,0.0358876926324678,0.0586680761099366,0.0253402722177742,0.0227226754770413,0.0243934311974561,0.021606648199446,0.00934463510440356,0.0166728971962617,0.0631082276614568,0.0275617883921133,0.0211489656233177,0.0207806358718917,0.0210398628016899,0.0137840725042214,0.0206081377976975,0.0181446017207882,0.0566471331724693,0.0314685314685315,0.0275827229098257,0.0306631211567226,0.0126616020258563,0.00950536877310333,0.0239071299950193,0.0159084693226365,0.0164404425928415,0.0278371474743262,0.036649858565982,0.0260730626770281,0.0231751911478368,0.0303438096891821,0.015975696926376,0.0167284604519774,0.040194134937453,0.0531623931623932,0.0313051327288393,0.0269312285317547,0.0199776898894635,0.103362672083051,0.0290788446526151,0.0249091459721381,0.0315964924994565,0.025834112021107,0.0206693637366679,0.0253019852913158,0.021558120362737,0.0392249156664313,0.022494484714781,0.015330416940885,0.0311044887316074,0.036388460168586,0.022467821894756,0.0129811530318281,0.0141267658457307,0.0263845350052247,0.0171133761167736,0.018123508353222,0.0161140547331622,0.0226671269128984,0.0308102862688016,0.0255956637934279,0.0213948990692615,0.0246949168828673,0.0198688654877806,0.0206944204525825,0.0344257045260461,0.0105363528009535,0.0124260626346921,0.0208758961405594,0.0150339834515366,0.0228079067410035,0.0162721320367285,0.0272126362777921
"cg04536319",0.926858041683052,0.95193482688391,0.865671641791045,0.834653988378236,0.816344858554109,0.727656579873329,0.926032938457093,0.888530360809622,0.922510518934081,0.915539155391554,0.925340360122969,0.839547549224969,0.922316384180791,0.932139994656693,0.874466788543571,0.84218009478673,0.85697067095219,0.95930103959301,0.955445544554455,0.899933730947648,0.902362204724409,0.844694533762058,0.970571904497501,0.820989035578429,0.897078353253652,0.917415730337079,0.882402001668057,0.88648908087353,0.833708877872916,0.91812865497076,0.911782661782662,0.859147025813693,0.937780269058296,0.9460569550931,0.925860547219771,0.914156935054292,0.903580290677065,0.891637803067788,0.888888888888889,0.876297577854671,0.924192212096106,0.953698775944651,0.89005016722408,0.751802265705458,0.938425381903643,0.943697216140131,0.932087391418794,0.898797983714618,0.931223906833663,0.939506172839506,0.944940476190476,0.926626081384172,0.839201261166579,0.892317380352645,0.95795614564474,0.884656084656085,0.895139813581891,0.596469104665826,0.917546948356808,0.96448087431694,0.926714955262037,0.844002943340692,0.751481988144095,0.791504636553993,0.964960390006094,0.963083913105211,0.953333333333333,0.982878030011543,0.949182039679777,0.890087929656275,0.924558587479936,0.910649521925486,0.949587534372136,0.894405043341214,0.849613152804642,0.904225352112676,0.803118908382066,0.945868125539879,0.951814768460576,0.967785690064429,0.924880127863612,0.884012539184953,0.884200431551187,0.970997336490086,0.948377930381246,0.941586538461539,0.950701402805611,0.960974643423138,0.963978251019483,0.928929765886288,0.774978279756733,0.898963730569948,0.927846934071,0.938630490956072,0.847229840921558,0.876905041031653
