"","GSM3936879_202163530086_R01C01","GSM3936880_202163530086_R02C01","GSM3936881_202163530086_R03C01","GSM3936882_202163530086_R04C01","GSM3936883_202163530086_R05C01","GSM3936884_202163530086_R06C01","GSM3936885_202163530086_R07C01","GSM3936886_202163530086_R08C01","GSM3936887_202163530106_R01C01","GSM3936888_202163530106_R02C01","GSM3936889_202163530106_R03C01","GSM3936890_202163530106_R04C01","GSM3936891_202163530106_R05C01","GSM3936892_202163530106_R06C01","GSM3936893_202163530106_R07C01","GSM3936894_202163530106_R08C01","GSM3936895_202163530149_R01C01","GSM3936896_202163530149_R02C01","GSM3936897_202163530149_R03C01","GSM3936898_202163530149_R04C01","GSM3936899_202163530149_R05C01","GSM3936900_202163530149_R06C01","GSM3936901_202163530149_R07C01","GSM3936902_202163530149_R08C01","GSM3936903_202163530167_R01C01","GSM3936904_202163530167_R02C01","GSM3936905_202163530167_R03C01","GSM3936906_202163530167_R04C01","GSM3936907_202163530167_R05C01","GSM3936908_202163530167_R06C01","GSM3936909_202163530167_R07C01","GSM3936910_202163530167_R08C01","GSM3936911_202163550114_R01C01","GSM3936912_202163550114_R02C01","GSM3936913_202163550114_R03C01","GSM3936914_202163550114_R04C01","GSM3936915_202163550114_R05C01","GSM3936916_202163550114_R06C01","GSM3936917_202163550114_R07C01","GSM3936918_202163550114_R08C01","GSM3936919_202163550130_R01C01","GSM3936920_202163550130_R02C01","GSM3936921_202163550130_R03C01","GSM3936922_202163550130_R04C01","GSM3936923_202163550130_R05C01","GSM3936924_202163550130_R06C01","GSM3936925_202163550130_R07C01","GSM3936926_202163550130_R08C01","GSM3936927_202163550152_R01C01","GSM3936928_202163550152_R02C01","GSM3936929_202163550152_R03C01","GSM3936930_202163550152_R04C01","GSM3936931_202163550152_R05C01","GSM3936932_202163550152_R06C01","GSM3936933_202163550152_R07C01","GSM3936934_202163550152_R08C01","GSM3936935_202163550167_R01C01","GSM3936936_202163550167_R02C01","GSM3936937_202163550167_R03C01","GSM3936938_202163550167_R04C01","GSM3936939_202163550167_R05C01","GSM3936940_202163550167_R06C01","GSM3936941_202163550167_R07C01","GSM3936942_202163550167_R08C01","GSM3936943_202184900081_R01C01","GSM3936944_202184900081_R02C01","GSM3936945_202184900081_R03C01","GSM3936946_202184900081_R04C01","GSM3936947_202184900081_R05C01","GSM3936948_202184900081_R06C01","GSM3936949_202184900081_R07C01","GSM3936950_202184900081_R08C01","GSM3936951_202184900085_R01C01","GSM3936952_202184900085_R02C01","GSM3936953_202184900085_R03C01","GSM3936954_202184900085_R04C01","GSM3936955_202184900085_R05C01","GSM3936956_202184900085_R06C01","GSM3936957_202184900085_R07C01","GSM3936958_202184900085_R08C01","GSM3936959_202184900109_R01C01","GSM3936960_202184900109_R02C01","GSM3936961_202184900109_R03C01","GSM3936962_202184900109_R04C01","GSM3936963_202184900109_R05C01","GSM3936964_202184900109_R06C01","GSM3936965_202184900109_R07C01","GSM3936966_202184900109_R08C01","GSM3936967_202184900129_R01C01","GSM3936968_202184900129_R02C01","GSM3936969_202184900129_R03C01","GSM3936970_202184900129_R04C01","GSM3936971_202184900129_R05C01","GSM3936972_202184900129_R06C01","GSM3936973_202184900129_R07C01","GSM3936974_202184900129_R08C01"
"cg21603679",0.844473621389353,0.793371155568827,0.84381874175099,0.820576643849824,0.872886566246542,0.777560498655585,0.891887848230049,0.747001251011848,0.504715047150472,0.811208604585338,0.702893380895759,0.672638369560751,0.684286400768861,0.789529783134506,0.927572716448376,0.534586927724468,0.710835796490787,0.704165183339267,0.86042459830935,0.618834700838942,0.747407046841652,0.814096016343207,0.924661265064343,0.667434485060925,0.749765698219306,0.577103801794105,0.880200229993912,0.824845727108396,0.784154052500479,0.891775608141651,0.844767441860465,0.860718261658352,0.618347544839753,0.853725978155675,0.9044142499831,0.747497393117831,0.549936677171384,0.322979145978153,0.912669922909433,0.831207625696449,0.758856976235603,0.829925650557621,0.834747200542925,0.565056874875274,0.471191086218197,0.887744823726917,0.649573957854993,0.712574115722756,0.792805544709098,0.665392514833409,0.603485370051635,0.917153508039838,0.696638185738242,0.78674097975946,0.661795230228322,0.628589890867318,0.924467398321498,0.669373549883991,0.883099489795918,0.480007677052012,0.678423301213085,0.472881355932203,0.724943776278479,0.738466889864777,0.456566658401521,0.227986846912678,0.61370943049602,0.801790510295434,0.828432218006209,0.641967082028387,0.526846590909091,0.448673173935106,0.621448212648946,0.773336486912646,0.749433106575964,0.689542686715546,0.692326372025255,0.565426695842451,0.655408763897973,0.334505377614939,0.713500305436775,0.901822238750465,0.879290718038529,0.570206675045385,0.581970649895178,0.643359718557608,0.868092254925979,0.855114468060191,0.677495036996932,0.740417305512966,0.52793738029811,0.797314033593931,0.9082526861236,0.622942056874065,0.804440470868723,0.730167053711889
"cg25003565",0.029657035470989,0.0303377218088151,0.0168035691948463,0.0251684832348781,0.0181548721748796,0.0170089042340542,0.0164961100171095,0.0167500962649211,0.0271759549154665,0.0277142595810848,0.0305369703208097,0.00811553877240054,0.0205046022353715,0.0212608463215035,0.0139195910472506,0.00981249762294147,0.024166712126998,0.153565851119209,0.0163522012578616,0.0176506128085621,0.013908359772744,0.0199649496580874,0.016674980403335,0.0209926769731489,0.0440695835529784,0.0864553314121038,0.0191013366195848,0.024000291354068,0.017666145895926,0.0137540771014265,0.0147163940629862,0.0164161244484332,0.114449603933352,0.0464459438255139,0.0196141039091365,0.0138098815784766,0.020049436967866,0.00903932694189004,0.0146321286386433,0.0156583940332359,0.136443883984868,0.0406064830951551,0.0276660657329081,0.0291718331919337,0.0179201081968797,0.0181267556179775,0.0201225456064615,0.0214091086025691,0.015096131023024,0.0174902665468703,0.0251467555132477,0.0235698924731183,0.011771931620432,0.0203815218764475,0.0125497807971621,0.00998286768581971,0.022480666626701,0.146762589928058,0.0238242427124447,0.022925992553236,0.0143487086162245,0.115010187910346,0.0200818461798085,0.017212157734172,0.0235719201651755,0.0183558317263053,0.0125102543068089,0.0136129647283127,0.016505582770643,0.00991645477660734,0.011913371141476,0.0103843560350641,0.0226083707025411,0.0138776288807287,0.00929924770130956,0.0195397963032818,0.0130478943667474,0.0109011870924595,0.0154831625183016,0.0212217043941411,0.0307379364899989,0.0188638428589971,0.00965052000374777,0.0143719351188231,0.0119711444726067,0.0183634992458522,0.0126815217826139,0.010440160058203,0.0190630048465267,0.020263223243109,0.0279385574354408,0.0107885749767153,0.0142971616549281,0.0179159709373167,0.0113590912726982,0.0146522843573979
"cg24407312",0.0547651309846432,0.0795519406392694,0.0362746997287873,0.0389378469661089,0.0270831410907078,0.0260935652761358,0.0376218480625151,0.0320033443262576,0.103232451275551,0.0506968737853296,0.0606187729417934,0.0464724970954689,0.0340331491712707,0.052060737527115,0.0374937717987045,0.0267425968109339,0.0631498858737002,0.237983281086729,0.0483964451313756,0.0349538461538462,0.0431819093059621,0.0411884923754127,0.058244980825626,0.0375465209403119,0.143978030600235,0.0994777418552599,0.043577878610899,0.0380581598601621,0.0462255459816832,0.0473771061316658,0.0405418434246047,0.0332739442384552,0.204590818363273,0.131806757888858,0.0479924864991782,0.0278352978655623,0.0229960291486669,0.0254314259763851,0.0293620292083013,0.0308841843088418,0.165973433516705,0.0569613872366166,0.0384393063583815,0.0270551508844953,0.0369554239544599,0.0411998016856718,0.0361535943127075,0.0327185447195553,0.0587800369685767,0.0832036841122658,0.0433080808080808,0.0370699004239377,0.0372359655012137,0.0424422933730454,0.0555555555555556,0.0424135201825038,0.0719161384690395,0.0847806888430968,0.0649403401878649,0.0410766926013628,0.0379209039548023,0.0832099809684923,0.0422535211267606,0.0324432960091875,0.0662048278817312,0.0572463768115942,0.032856429878556,0.0373903262092238,0.0453231468098286,0.045439564966631,0.0249724568490635,0.0183564091112104,0.0966234869399023,0.038888572567329,0.0307903729015005,0.0452708531989284,0.0412032816773017,0.0409794909427987,0.0497626240828658,0.0408433272160813,0.0720265480051286,0.0569753007148667,0.0466419104936296,0.0354630715123095,0.0506819944345605,0.0337512454334108,0.0378072717076362,0.0309816284378737,0.0766255295634555,0.0527961250550418,0.0456017412539152,0.0364674670623679,0.0415018922481609,0.0400098183603338,0.0373711340206186,0.0314898733006566
"cg11100117",0.959117647058824,0.972107438016529,0.941686367218282,0.930281462309932,0.982039331590315,0.9658772028286,0.962133072407045,0.903950426026336,0.971849215337324,0.966394531991646,0.930636930636931,0.933836240766934,0.928212378259504,0.921487603305785,0.968407414789715,0.947361052778944,0.963620689655172,0.942666666666667,0.970515613652869,0.910388317291736,0.929616281534874,0.949794338253085,0.966823193140057,0.922438509129319,0.961579969781999,0.880205362236167,0.968090933990687,0.964644630100496,0.936579540931405,0.968664402322779,0.942759988665344,0.958992645420103,0.947722985718135,0.94056399132321,0.972115977791487,0.957583716349311,0.783880037488285,0.721557537524472,0.951065801668211,0.89413782351107,0.956340288924559,0.96264674493063,0.973447655925875,0.959038461538462,0.784065102195307,0.975041760833251,0.971791383219955,0.964470473401659,0.978132516947299,0.960750586395622,0.968136410609714,0.876890802694049,0.966276041666667,0.975228926978164,0.965199590583419,0.951934952655414,0.965149586250796,0.785607196401799,0.974520028442759,0.743402282453638,0.967783000391696,0.965836711059641,0.971738481440939,0.914839671886652,0.965020180665001,0.968815640652771,0.921935870542403,0.96442417331813,0.958338307269906,0.948273773470624,0.90680200369101,0.968870656370656,0.969687039161068,0.918392204628502,0.963381729410253,0.961356653273458,0.939153439153439,0.817404178318802,0.927897278314311,0.895955495414223,0.928504233301976,0.969219312399156,0.975356180207932,0.978497942386831,0.85785691971259,0.870113493064313,0.963405683128867,0.970299500831947,0.870740305522914,0.962395140295053,0.945911630269172,0.935342778358848,0.960981689195667,0.879060265577119,0.936348107524948,0.949682087261565
"cg11120971",0.964732453092425,0.973232799245994,0.948512430376308,0.917286652078775,0.945858283433134,0.921223021582734,0.957329793286554,0.957844311377245,0.954906265833474,0.908470980451584,0.926401630988787,0.948027467348862,0.940804745937581,0.96300494641385,0.974235807860262,0.933009963293131,0.967586730817929,0.94681960375391,0.912633234317666,0.928378833838895,0.952469711090401,0.949346581704288,0.934540560381745,0.924374935692973,0.951140544518028,0.922706065318818,0.932459390139641,0.906501622401154,0.941496030087756,0.976294611616515,0.939279889599799,0.956667526437967,0.923559612093554,0.965979782270607,0.93094807183628,0.957977675640184,0.945805435210713,0.962207856787668,0.943558282208589,0.970465601111883,0.940941462567309,0.938968990716966,0.945638229634381,0.924374636416521,0.960873453569832,0.953926701570681,0.974616508400292,0.947917946198256,0.968953706772732,0.944894874261371,0.925778132482043,0.762892273811709,0.927591664468478,0.908088235294118,0.951032165146423,0.96519367157665,0.963691560412872,0.715846994535519,0.885640584694755,0.877792629367959,0.929875361953922,0.748155435317265,0.893062966915688,0.921896274291373,0.968513195714659,0.961529184756392,0.952886738878957,0.960504662643993,0.956406600122224,0.951204253988114,0.95661981606802,0.926427165354331,0.970967338255537,0.942349641632907,0.911135611907387,0.968181818181818,0.935108153078203,0.967136150234742,0.950420090481027,0.961282516636419,0.926695021265949,0.925656565656566,0.964208710651143,0.421351570650284,0.955194485475135,0.950400693090752,0.955511724742494,0.970468961214516,0.978482086071656,0.960155985079688,0.865334813170551,0.975396528037967,0.943934632306725,0.942739921512665,0.948152285208973,0.96652252754917
"cg22967122",0.05534835148441,0.0451977401129944,0.10331895743484,0.0875653082549634,0.047848813831926,0.0618153364632238,0.044260397185858,0.0446482442379631,0.0547377151150736,0.0338424158278376,0.0573183213920164,0.0356056766345667,0.0427350427350427,0.0524433849821216,0.0312746090673867,0.045071454745328,0.032254167673351,0.137757437070938,0.102632753235163,0.0644973852411389,0.0319269068884098,0.0491883915395967,0.0908150956401861,0.0604624715693707,0.141284403669725,0.104492852280463,0.056663872590109,0.0743413929989174,0.0700693579939534,0.0422946926098474,0.0714285714285714,0.0622997051660044,0.179358086847074,0.221835075493612,0.0515589148333108,0.060312540359034,0.0291202526094202,0.059872029250457,0.065008576329331,0.0404197838736492,0.120311070448307,0.110213968510295,0.0341865357643759,0.0822402665001041,0.0246166263115416,0.0604414261460102,0.0365448504983389,0.0506504290063659,0.0290020552637589,0.0906882591093117,0.0554507732930969,0.0344122247623631,0.0491488851594342,0.102064666926373,0.0445468509984639,0.0366271992918004,0.0329379101463907,0.387702818104184,0.0574155430995304,0.0537997942084375,0.0428151937103344,0.190962883270576,0.0858905666504303,0.0453633079084705,0.0831804281345566,0.0492870973420172,0.0472177201512696,0.0197764402407567,0.0329351345316512,0.0259649936246667,0.0241474813917258,0.0388073828679602,0.0475511174512601,0.0690277464471013,0.042989814260036,0.049972602739726,0.0347284060552093,0.0514094126412517,0.0217298314654804,0.0377997914494265,0.154826958105647,0.0594622543950362,0.032194046306505,0.0225307833376998,0.0410575823058345,0.0403445149592022,0.0331266771536967,0.0380658436213992,0.0490060101710587,0.0311906092789268,0.147026228297008,0.0204166234842989,0.0280972011282274,0.0417356131641846,0.0325234730422999,0.0642865906023801
"cg26531551",0.951885811513376,0.956544850498339,0.950878963748002,0.899371750433276,0.949500050499949,0.941735002157963,0.955635319454415,0.95702333773668,0.937628336755647,0.940381017179792,0.945337620578778,0.950470266990291,0.936565977742448,0.953805511923461,0.960993185556513,0.945931303499837,0.943834248627059,0.965836473865312,0.95867433757394,0.935674822415154,0.965880082186663,0.939660003736223,0.924200913242009,0.917550461854259,0.923520671269994,0.925531914893617,0.961166796710882,0.952401883830455,0.956358399599274,0.968876860622463,0.956130639357874,0.894788456150182,0.918612102902133,0.939880735061458,0.937077354444994,0.951696496441158,0.953607069398949,0.965639445300462,0.959908615225883,0.965821190861666,0.924479540559943,0.968439339832063,0.936763236763237,0.876065946560546,0.940594918047004,0.954169111415347,0.9656435026488,0.970442937285439,0.971733004579077,0.956227013773707,0.919083717864206,0.926518087855297,0.893276524992206,0.924336435711824,0.953133430972019,0.934708295350957,0.950963222416813,0.77762139338494,0.959342433582856,0.941137945149407,0.947596153846154,0.895233486571498,0.894442275152935,0.940008509431286,0.937566988210075,0.940627177700348,0.962645397141908,0.963057575162114,0.953789384047687,0.951998089476198,0.950940700166706,0.962127189521856,0.928175123575103,0.942520962942927,0.951039747301922,0.958175662218682,0.919417383902393,0.932086884795161,0.959163412535575,0.954610575670748,0.831819605386784,0.948729749631811,0.937122938731733,0.936089461199593,0.962631089871233,0.941068400226116,0.942613598228069,0.959481878509444,0.940031713997405,0.943129678821541,0.916486991519333,0.948529979165059,0.961874604179861,0.934314302530901,0.97363096403629,0.943197309824593
"cg24001644",0.44201428697416,0.111872146118721,0.0934959349593496,0.062865379995195,0.0468648998060763,0.0641898279447911,0.151957752509634,0.054020618556701,0.0613428507695739,0.344359125812168,0.0387103096824775,0.0750216076058773,0.107239880467264,0.0421515965383468,0.0691538649109973,0.0463590640717253,0.112597066436583,0.51057268722467,0.0487166055526454,0.0378747678429292,0.277617119722383,0.0440677966101695,0.0992332204740092,0.265262659725509,0.162512139851084,0.182377049180328,0.0862824401752612,0.0316800830952999,0.130449385369786,0.058183085097117,0.0584994956940026,0.0576857821513403,0.254371122391427,0.237912876974629,0.0658745413244802,0.0241655830082358,0.0281731909845789,0.0906252501801297,0.0367696440564137,0.0319217819217819,0.151918976545842,0.212779156327543,0.0756324900133156,0.0418397169666205,0.0148033126293996,0.0703884999070574,0.196455830623216,0.0389189189189189,0.0806814529090325,0.157943067033976,0.0413247362250879,0.0223070149691811,0.0280509765895553,0.172359880608329,0.434175782723501,0.0785574680032785,0.136255521576622,0.584242424242424,0.0597391046546101,0.0196510347226248,0.0399469236678539,0.0993239729589184,0.15801752947853,0.0573911889596603,0.0319162517553938,0.0824572253143682,0.188975701897484,0.14259794749674,0.114606310539944,0.514773085408131,0.126323403695666,0.310896634495174,0.0438415626695605,0.0430729069550625,0.233331856642892,0.0566134185303514,0.0822387207310109,0.023744019138756,0.0706970425331801,0.0344867358708189,0.344291036598729,0.0463627546071775,0.173045325211397,0.00907557625893502,0.115258097165992,0.0281524926686217,0.0959814528593508,0.0416095107453132,0.037758394073366,0.0378974308494931,0.236410778775813,0.0274430085668651,0.059663968604366,0.0305226174791392,0.0290015641293014,0.0847224823624899
"cg27370261",0.0422015641139147,0.0437612208258528,0.0357673100283439,0.0410571024067957,0.0376865671641791,0.0392109403364395,0.048067985659275,0.040448343079922,0.068870523415978,0.0595310907237513,0.0343996787578637,0.051912889935256,0.0562120728201852,0.0282258064516129,0.0417295813315031,0.033141739024092,0.0504543605045436,0.121522693997072,0.0443917316164012,0.0315598380114509,0.0475226137437559,0.0369609856262834,0.0497599301615015,0.0407411669927495,0.0731350560702096,0.0901033973412112,0.0381981032665964,0.0413453028195726,0.0748235294117647,0.0315443592552026,0.0513338722716249,0.0826292246520875,0.125696908261531,0.106666666666667,0.044,0.0364393545028631,0.0337457817772778,0.0362649562106821,0.0389673648319532,0.0351648351648352,0.175194660734149,0.110533159947984,0.0401085061034683,0.0591221260077635,0.0317982456140351,0.0463860426474661,0.039847772554287,0.0420289855072464,0.0327083039616523,0.164532293986637,0.0512820512820513,0.0406320541760722,0.0560886829913964,0.0309252535369976,0.0368718406184954,0.0372501831118552,0.0516905647017171,0.110152621101526,0.039708506841166,0.0270149586961375,0.0352609308885755,0.135828877005348,0.0584909339052447,0.0338213023725391,0.273094276893849,0.110349402919062,0.0829831932773109,0.021381202835582,0.0437264824185805,0.0492571275598983,0.0582684595423449,0.0289466117128343,0.04319074188882,0.0481027786077084,0.0418648905803996,0.0332122470160872,0.0707138994050838,0.0347415567122624,0.0878885316184352,0.0431791221826809,0.0995850622406639,0.0471250219799543,0.0387470997679814,0.0375607123583378,0.0383722351215935,0.0445135814287424,0.0560172692930383,0.220132238942088,0.0540918163672655,0.0413314402902666,0.0505816894284269,0.0301111111111111,0.0305237228231766,0.0422719349215572,0.119058677813903,0.0442176870748299
"cg03767562",0.847559790005833,0.825902335456476,0.82313478349258,0.813073124853045,0.891324921135647,0.79918200408998,0.909174917491749,0.923989929265076,0.795620437956204,0.797216699801193,0.830445544554455,0.846027994910016,0.862675513038111,0.865897131217111,0.920531597504746,0.825098658247829,0.840591452298967,0.823798627002288,0.810307955517536,0.793576258452292,0.797055730809674,0.877531941414771,0.89756649688738,0.866068346565413,0.804796802131912,0.813244047619048,0.769448737764039,0.822411953041622,0.862326115015058,0.888195232690125,0.793715846994536,0.912598204264871,0.745303867403315,0.8206745270085,0.851011994002999,0.858476158153742,0.844987775061125,0.819724684141052,0.741095480395091,0.906878140703518,0.765587734241908,0.81940441882805,0.805202913631634,0.740837696335079,0.866561762391817,0.870861472574535,0.904991743934968,0.908430609597925,0.864463531809579,0.840481839751779,0.800650054171181,0.774243428318975,0.825413047181059,0.793660407833636,0.906220984215413,0.90179377984256,0.855682501503307,0.729894808279606,0.805325835262984,0.757593457943925,0.902045877247365,0.78258064516129,0.828921374950612,0.899281550765894,0.783010156971376,0.835921107847251,0.81288056206089,0.885632270735761,0.876742712294043,0.871196939333212,0.890450204638472,0.895679815055628,0.762474682378936,0.780761611270086,0.812793979303857,0.836852924686974,0.819294990723562,0.796185935637664,0.906750650417637,0.788534070907719,0.734992679355783,0.8217017208413,0.865987460815047,0.865172955974843,0.844710947109471,0.815449852507375,0.860941024814695,0.919352861870327,0.794454225352113,0.791639871382637,0.792162698412698,0.82729044834308,0.689923712650985,0.796245986663374,0.751245157719978,0.845140856809468
